Gold Coast,North Melbourne, 3.05 , 1.38 ,,0,,,,,,,
Western Bulldogs,Brisbane, 1.12 , 6.37 ,,0,,,,,,,
Port Adelaide,Geelong, 2.16 , 1.70 ,,0,,,,,,,
St Kilda,GWS Giants, 2.38 , 1.57 ,,0,,,,,,,
Fremantle,Carlton, 1.14 , 5.61 ,,0,,,,,,,
Melbourne,Richmond, 2.19 , 1.68 ,,0,,,,,,,
Collingwood,Essendon, 1.33 , 3.33 ,,0,,,,,,,
North Melbourne,Western Bulldogs, 1.80 , 2.01 ,,0,,,,,,,
Adelaide,Fremantle, 1.08 , 7.94 ,,0,,,,,,,
GWS Giants,Hawthorn, 2.05 , 1.77 ,,0,,,,,,,
Richmond,Port Adelaide, 1.38 , 3.02 ,,0,,,,,,,
Melbourne,St Kilda, 1.72 , 2.14 ,,0,,,,,,,
Geelong,Gold Coast, 1.08 , 7.62 ,,0,,,,,,,
Brisbane,Sydney, 5.11 , 1.17 ,,0,,,,,,,
West Coast,Collingwood, 1.12 , 6.22 ,,0,,,,,,,
Carlton,Essendon, 1.56 , 2.41 ,,0,,,,,,,
Richmond,Hawthorn, 4.12 , 1.24 ,,0,,,,,,,
Geelong,West Coast, 1.50 , 2.58 ,,0,,,,,,,
Sydney,Essendon, 1.02 , 14.38 ,,0,,,,,,,
Gold Coast,Melbourne, 1.86 , 1.94 ,,0,,,,,,,
Fremantle,GWS Giants, 3.35 , 1.33 ,,0,,,,,,,
Collingwood,Carlton, 1.54 , 2.47 ,,0,,,,,,,
Western Bulldogs,Adelaide, 1.73 , 2.12 ,,0,,,,,,,
Port Adelaide,Brisbane, 1.37 , 3.10 ,,0,,,,,,,
St Kilda,North Melbourne, 3.53 , 1.30 ,,0,,,,,,,
Adelaide,Geelong, 1.89 , 1.91 ,,0,,,,,,,
Hawthorn,Fremantle, 1.09 , 7.31 ,,0,,,,,,,
GWS Giants,Gold Coast, 1.05 , 10.34 ,,0,,,,,,,
Brisbane,Collingwood, 1.71 , 2.13 ,,0,,,,,,,
Essendon,North Melbourne, 10.13 , 1.05 ,,0,,,,,,,
Richmond,Sydney, 3.55 , 1.30 ,,0,,,,,,,
Carlton,Port Adelaide, 2.36 , 1.58 ,,0,,,,,,,
West Coast,St Kilda, 1.16 , 5.22 ,,0,,,,,,,
Melbourne,Western Bulldogs, 2.94 , 1.40 ,,0,,,,,,,
Hawthorn,Sydney, 1.81 , 1.99 ,,0,,,,,,,
Gold Coast,Adelaide, 11.45 , 1.03 ,,0,,,,,,,
Port Adelaide,West Coast, 2.62 , 1.49 ,,0,,,,,,,
North Melbourne,Carlton, 1.24 , 4.07 ,,0,,,,,,,
Collingwood,Geelong, 5.51 , 1.15 ,,0,,,,,,,
Fremantle,Richmond, 2.22 , 1.66 ,,0,,,,,,,
Melbourne,Brisbane, 1.16 , 5.13 ,,0,,,,,,,
