@relation playerParsed

@attribute Home numeric
@attribute Away numeric
@attribute Result {loss,win}

@data
1540.431439,1627.610665,loss
1510.73677,1658.968791,win
1612.523729,1669.468751,win
1392.746622,1696.646437,win
1799.122133,1525.303563,win
1683.131942,1732.79457,win
1575.220905,1492.484024,win
1476.956872,1545.81174,win
1474.430414,1468.828814,loss
1343.528388,1368.065159,loss
1696.754928,1598.706511,win
1654.418215,1475.492479,loss
1556.551028,1559.814854,win
1647.474227,1482.702744,loss
1578.236238,1684.710904,win
1632.390739,1378.176419,win
1778.147485,1668.024887,loss
1488.573213,1786.883643,loss
1634.391255,1500.121436,win
1649.595035,1861.305502,win
1595.373537,1680.996243,win
1614.515363,1526.550758,win
1631.456189,1683.467216,loss
1494.140549,1689.274573,win
1533.033539,1590.857709,win
1476.209264,1326.605762,win
1528.83233,1766.103073,loss
1418.016282,1541.343098,win
1585.142779,1799.256869,win
1632.271928,1415.687669,win
1433.639291,1813.49922,win
1766.820615,1758.09046,loss
1404.188817,1552.058039,loss
1644.680069,1576.524947,loss
1724.393586,1393.541273,win
1577.778252,1534.630828,loss
1582.577535,1749.665309,win
1653.444235,1639.370237,win
1642.873356,1584.195669,win
1345.811335,1535.547441,loss
1529.524661,1713.609846,win
1709.263471,1504.666728,win
1578.110902,1607.088631,win
1733.769357,1655.364326,win
1527.997002,1705.366152,win
1629.947528,1548.504608,loss
1766.618041,1319.401654,win
1822.309488,1751.156941,win
1747.149363,1671.733639,win
1582.504856,1515.540446,win
1633.148585,1695.909497,loss
1835.660994,1668.304932,loss
1756.791634,1800.609701,win
1549.390761,1745.758327,win
1520.365357,1754.388886,win
1696.5595,1898.821797,win
1632.781899,1707.273071,win
1777.7119,1472.15638,loss
1288.919727,1410.934825,win
1483.031097,1495.357362,win
1511.511827,1465.544063,win
1834.337742,1249.627547,win
1345.206094,1619.124178,win
1767.982216,1735.172272,win
1465.607623,1343.174078,win
1618.998624,1473.128723,loss
1383.101135,1309.657484,loss
1533.993958,1516.722754,win
1418.224836,1708.702365,win
1494.799557,1651.754484,loss
1573.66941,1752.308022,loss
1489.126363,1503.0696,loss
1425.965973,1631.006219,win
1361.01862,1470.111388,loss
1526.336761,1879.026312,loss
1604.308461,1648.904299,loss
1549.385961,1694.582154,loss
1651.805262,1491.02002,win
1551.194235,1595.395564,win
1653.82877,1617.04825,loss
1538.098213,1656.511972,win
1565.660085,1792.056317,loss
1318.996043,1559.193345,win
1448.96029,1535.803416,win
1743.133975,1757.684452,win
1780.291263,1743.837972,loss
1597.603437,1563.398451,win
1602.251403,1506.144017,win
1718.170556,1567.122774,loss
1408.952531,1554.217554,win
1441.828219,1512.979325,win
1377.848604,1637.853717,win
1592.169664,1641.565156,win
1520.74775,1477.622025,win
1414.724538,1592.955063,loss
1469.614452,1729.920687,loss
1241.502296,1682.953281,loss
1546.907693,1713.568408,loss
1514.422188,1690.346227,win
1636.206506,1645.855124,win
1423.173877,1338.525703,loss
1450.144992,1519.065842,loss
1675.167594,1596.27191,win
1577.915803,1526.13184,win
1415.284764,1514.190617,loss
1611.047582,1622.828244,loss
1532.682177,1542.844501,win
1388.983117,1579.147671,win
1591.863681,1545.525621,win
1704.47723,1547.261885,loss
1562.247588,1550.849803,loss
1686.252674,1483.565728,loss
1408.582801,1582.350562,win
1565.380492,1351.910914,win
1664.492758,1713.741305,loss
1587.324472,1667.296824,win
1657.611247,1416.047166,loss
1804.982742,1462.754802,win
1397.687501,1569.55596,win
1450.474111,1547.851976,loss
1484.146186,1707.235361,loss
1603.122654,1464.42936,loss
1464.178237,1520.624282,loss
1582.898153,1472.65518,win
1597.939363,1705.02628,loss
1559.20717,1697.277007,win
1694.25775,1630.700042,win
1371.91829,1648.536527,win
1578.691258,1634.149983,loss
1628.265977,1630.020196,loss
1471.403812,1698.836837,win
1503.738252,1458.000892,win
1465.888337,1757.441434,loss
1577.457576,1582.132577,win
1676.989593,1543.342521,win
1509.61058,1827.713273,loss
1447.783731,1755.796416,loss
1592.540008,1582.664026,win
1683.141544,1648.579981,win
1859.488932,1514.109183,win
1314.949993,1451.593322,win
1636.908002,1702.375066,loss
1556.221401,1493.581012,win
1429.490209,1838.18981,loss
1627.828116,1651.828309,loss
1771.959283,1640.119977,win
1557.981283,1576.475249,loss
1463.147426,1457.279604,win
1567.026644,1936.791857,loss
1633.196469,1577.888287,win
1445.485693,1587.752878,loss
1666.273992,1476.1855,loss
1593.340956,1658.858771,win
1633.575716,1493.237991,win
1864.62585,1488.766777,win
1447.480379,1511.372614,loss
1418.362546,1489.754882,win
1696.456635,1600.874582,win
1524.214025,1323.121629,win
1574.95216,1473.916562,loss
1608.467698,1525.02233,loss
1586.459808,1491.180884,win
1861.297331,1919.894293,loss
1627.652045,1474.168851,win
1601.819039,1596.451363,win
1401.912651,1722.145245,loss
1318.327478,1425.84399,loss
1720.045188,1479.116446,win
1790.802512,1461.38419,loss
1432.467698,1601.804466,loss
1691.334075,1601.865775,win
1565.171884,1416.374539,win
1593.015035,1941.421115,loss
1294.495573,1345.524915,loss
1776.617873,1538.659523,win
1561.516298,1604.378657,win
1568.064217,1498.194668,win
1489.313893,1561.89063,loss
1437.413741,1474.015417,win
1295.164427,1645.49466,loss
1522.742943,1573.169617,win
1474.625844,1604.591404,loss
1669.924233,1430.237603,win
1688.355248,1689.872946,loss
1494.279061,1708.507034,loss
1579.542691,1462.489514,win
1669.974589,1443.161206,win
1670.165996,1482.531968,win
1596.719925,1679.560169,loss
1534.992402,1464.483283,win
1568.517055,1606.918021,win
1604.200776,1675.965825,loss
1584.197315,1485.2784,win
1575.379418,1503.594564,win
1529.332919,1353.875891,win
1743.040119,1785.601389,loss
1619.020367,1477.254995,win
1448.583604,1548.750018,loss
1464.880098,1719.848627,win
1536.745234,1567.136003,loss
1736.847337,1509.618831,loss
1363.275575,1730.559264,win
1774.926403,1519.027302,loss
1540.621398,1596.169467,win
1563.386094,1373.107971,loss
1785.355726,1534.653573,win
1619.520278,1688.892932,loss
1565.680512,1674.217347,win
1298.057047,1491.699653,loss
1598.414281,1643.44584,win
1664.604619,1611.456221,loss
1648.502497,1583.776311,win
1493.646498,1584.168325,win
1701.630746,1544.417561,win
1648.376364,1575.241673,win
1556.316702,1561.014957,loss
1539.717697,1670.843469,loss
1448.899003,1685.385358,win
1438.120619,1604.29578,loss
1328.682777,1710.670462,loss
1428.774813,1682.33566,win
1809.970179,1678.326364,win
1491.085788,1569.56901,loss
1615.491955,1536.059156,win
1583.755357,1321.955374,loss
1426.528762,1647.845272,win
1661.183279,1681.334123,loss
1534.013757,1347.369901,win
1610.929935,1379.906111,win
1654.065273,1651.978087,win
1689.132571,1526.457057,win
1408.520462,1546.149856,loss
1429.147935,1664.398685,loss
1642.371367,1668.316769,win
1844.414873,1702.834475,win
1452.236596,1651.935085,loss
1866.623338,1603.723457,loss
1284.033538,1458.980442,win
1550.803726,1657.641095,win
1605.180439,1571.968293,win
1529.412208,1535.83566,win
1603.96957,1728.061587,loss
1435.349426,1581.990728,loss
1444.091597,1676.874085,loss
1408.123243,1631.489196,loss
1575.279737,1572.070406,loss
1557.667735,1519.492647,win
1517.916963,1565.061186,loss
1498.85565,1719.028963,loss
1632.461501,1357.728617,win
1531.965419,1640.963374,win
1498.453798,1670.797844,loss
1586.735012,1522.230637,loss
1527.749808,1591.825657,loss
1613.245535,1517.449739,win
1299.203264,1683.436088,loss
1479.996497,1551.03837,win
1588.911574,1602.065231,win
1782.080195,1856.8923,win
1668.940784,1521.301815,loss
1514.013046,1684.123833,win
1457.690499,1678.016039,loss
1528.799299,1650.802609,loss
1495.87458,1528.129741,win
1614.374916,1762.960522,win
1244.329163,1340.741528,loss
1694.668313,1407.895275,loss
1295.403941,1488.631868,loss
1787.557885,1429.436713,loss
1575.128221,1482.961935,win
1451.108617,1388.882707,win
1407.516785,1391.770308,win
1372.786823,1652.340752,win
1489.675015,1556.745393,win
1450.737196,1568.576336,loss
1524.0309,1734.345423,loss
1390.962743,1570.287927,loss
1678.526374,1560.721597,win
1519.979055,1351.62,win
1389.931051,1590.855181,win
1545.263998,1519.021723,loss
1506.028913,1480.633759,loss
1500.561366,1633.982359,win
1653.91623,1731.130052,loss
1460.189165,1474.670948,loss
1471.297559,1502.913329,loss
1472.905319,1252.800349,win
1640.604345,1809.203642,win
2099.423733,1644.163664,loss
1661.726752,1651.312273,loss
1505.927552,1464.958791,win
1549.224117,1441.526674,win
1660.591629,1461.046055,loss
1631.266084,1613.273326,win
1547.803428,1740.280103,loss
1686.228259,1698.442709,win
1540.240728,1495.191974,loss
1586.371405,1558.839546,win
1442.534725,1694.999251,win
1423.230805,1336.27955,win
1544.206599,1548.131117,win
1562.088542,1714.14879,loss
1705.735406,1583.203826,loss
1637.120709,1583.864895,loss
1759.210443,1523.591978,loss
1523.345362,1539.982446,loss
1489.928289,1662.117996,win
1606.367495,1559.686221,loss
1609.346877,1548.217509,win
1615.377533,1369.831131,loss
1566.133796,1615.984037,win
1727.148072,1609.730218,loss
1589.672858,1447.419594,win
1664.587502,1541.908671,loss
1598.818642,1827.837363,loss
1734.352825,1556.165966,loss
1596.171805,1564.163506,win
1529.272701,1674.583845,win
1699.057275,1500.4086,win
1743.640182,1618.254937,win
1425.648258,1653.237242,win
1680.080122,1537.682427,win
1615.581734,1501.794739,win
1554.432701,1600.384297,win
1269.32246,1461.145161,win
1581.746961,1602.028533,loss
